fund,benchmark,n_months,IR,t_stat,ann_vol_fund,ann_vol_bench,tracking_error,hit_rate,up_capture,down_capture,cum_excess_pct,current_L,pct_h,ALARM,n_alarms,first_alarm
JPM Income A acc USD,Bloomberg US Agg Bond TR USD,143,0.2754,0.9508,4.73,4.77,4.47,58.0,77.8,44.6,15.75,5.4089,27.3,True,1,2015-12
PineBridge Japan Equity A,TOPIX NR JPY,152,-0.0996,-0.3545,14.6,13.82,5.4,44.7,96.6,98.3,-7.88,5.3281,26.9,True,4,2018-12
Amova Global Equity A USD Acc,MSCI ACWI NR USD,123,-0.227,-0.7269,14.84,14.69,5.05,50.4,96.7,101.8,-11.18,5.25,26.5,True,3,2023-03
Schroder ISF Hong Kong Eq A1 Acc HKD,FTSE Hong Kong TR HKD,389,0.1095,0.6233,24.75,23.61,7.55,51.7,101.8,99.2,17.54,5.25,26.5,True,11,1994-11
JPMorgan Korea (acc) - USD,KOSPI TR KRW,89,-0.1513,-0.412,31.03,32.95,5.75,49.4,95.3,94.7,-2.51,5.25,26.5,True,3,2020-06
BGF World Gold A2,FTSE Gold Mines PR USD,335,0.3395,1.7938,34.79,37.38,10.75,57.0,93.0,82.3,250.19,5.0887,25.7,True,4,2008-11
JPM Europe Dynamic A acc USD Hdg,MSCI Europe NR EUR,150,0.2183,0.772,13.75,15.84,7.98,52.0,77.2,58.1,28.89,5.0664,25.6,True,2,2017-09
Barings Global High Yield Bd G RMBHDis,ICE BofA NFincl Dv Mkts HY Cstd TR USD,62,-0.3112,-0.7073,9.4,7.94,5.4,50.0,82.9,94.6,-8.89,5.0012,25.2,True,2,2022-10
Barings Korea Feeder USD A USD Acc,MSCI Korea NR LCL,329,-0.1442,-0.7549,30.5,26.63,13.74,49.2,102.3,112.1,-57.15,4.973,25.1,True,10,2003-10
AIA US High Yield Bond IDQ,ICE BofA US HY Constnd TR USD,68,-0.1326,-0.3157,6.76,7.48,2.67,52.9,85.9,81.4,-1.71,4.9456,25.0,True,1,2024-11
Ninety One GSF All China Bd A Inc 3 $,Bloomberg Global Agg - CHI RMB TR USD,101,-0.5197,-1.5076,7.71,4.44,5.38,38.6,90.1,158.8,-22.24,4.7851,24.2,True,5,2018-10
Ninety One GSF All China Bd A Acc USD,Bloomberg Global Agg - CHI RMB TR USD,180,0.0024,0.0094,6.6,3.36,5.22,50.6,90.2,158.7,-2.2,4.7654,24.1,True,5,2021-07
AB Global Real Estate Secs A USD,FTSE EPRA Nareit Dev Real Estate NR USD,142,-0.4281,-1.4728,16.19,17.46,4.14,41.5,87.1,92.2,-16.65,4.7101,23.8,True,5,2016-06
Principal Preferred Secs D2 Inc Pl USD,Bloomberg Global Agg Corp USD TR USD,71,0.5491,1.3356,5.45,7.07,4.43,56.3,71.2,38.8,16.12,4.5483,23.0,False,0,
Schroder Multi-Asset Revolution 70,FTSE WGBI Hdg SGD [30.00%]; MSCI World NR USD [70.00%],179,-0.4894,-1.89,11.51,11.36,3.19,47.5,92.1,99.8,-20.89,4.4578,22.5,True,7,2013-03
AB Intl Health Care I USD,MSCI World/Health Care NR USD,327,0.0303,0.1582,13.13,13.14,5.66,51.7,92.8,88.1,4.74,4.4232,22.3,True,6,2001-09
Ninety One GSF All China Bd A Acc RMB,Bloomberg Global Agg - CHI RMB TR USD,49,-0.6852,-1.3846,9.27,4.73,6.15,32.7,103.4,191.3,-16.86,4.3855,22.1,True,3,2022-10
Ninety One GSF All China Bd A Inc 3 RMB,Bloomberg Global Agg - CHI RMB TR USD,97,-0.641,-1.8226,7.75,4.53,5.29,37.1,90.0,157.9,-25.16,4.351,22.0,True,5,2018-10
Allianz Dyn Asian Hi Yld Bd AT USD,JPM ACI Non Investment Grade TR USD,112,-0.6433,-1.9653,12.4,7.87,7.77,48.2,94.6,163.5,-39.89,4.2975,21.7,True,5,2018-10
UBS (Lux) BF Euro Hi Yld € P-mdist USDH,ICE BofA EUR HY 3% Constd TR EUR,151,0.2805,0.9951,6.5,11.26,7.94,51.7,47.8,16.0,39.31,4.2144,21.3,True,3,2018-01
UBS (Lux) BF Euro Hi Yld € P-acc USD Hdg,ICE BofA EUR HY 3% Constd TR EUR,146,0.3282,1.1449,6.56,11.33,8.0,52.1,47.1,16.1,44.7,4.2143,21.3,True,3,2018-01
Schroder Multi-Asset Revolution 50,FTSE WGBI Hdg SGD [50.00%]; MSCI World NR USD [50.00%],179,-0.5111,-1.974,9.89,9.61,2.69,44.1,92.8,101.9,-18.76,3.9473,19.9,True,7,2013-03
JPMorgan Asian Smlr Coms (acc) - USD,MSCI AC Asia Ex JPN Small Cap NR LCL,384,0.322,1.8212,22.41,20.47,10.16,52.1,107.1,94.6,146.5,3.8249,19.3,True,7,1999-05
Franklin Global Sukuk A Mdis SGD,DJ Sukuk TR USD,156,-0.5913,-2.132,4.9,3.79,1.92,43.6,102.2,139.0,-14.27,3.7909,19.1,True,6,2015-01
Amundi Fds Cash USD A2 USD C,Compounded Effective Federal Funds Rate,228,0.753,3.2822,0.52,0.74,0.53,76.3,96.2,-302.7,7.85,3.5123,17.7,False,0,
Amundi Fds US S/T Bond A2 USD MTD3 D,ICE BofA US 3M Trsy Bill TR USD,38,0.6747,1.2006,0.46,0.99,1.03,68.4,97.9,-1255.5,2.22,3.4027,17.2,False,0,
Principal Preferred Secs A Acc USD,Bloomberg Global Agg Corp USD TR USD,170,0.3705,1.3944,6.16,5.91,4.23,61.2,85.0,48.9,24.42,3.3521,16.9,True,1,2020-03
M&G (Lux) Glbl Crdt Invmt Fd C USD Acc,Bloomberg Gbl Agg Corp TR hgd EUR,152,0.3956,1.408,5.34,10.34,7.34,53.9,45.9,19.7,51.72,3.3051,16.7,True,2,2017-12
JPMorgan Asia Growth (acc) - USD,MSCI AC Asia Ex Japan NR USD,227,-0.0616,-0.2679,22.24,20.88,5.4,51.5,101.3,103.2,-11.31,3.1384,15.8,True,6,2008-10
Amundi Fds US S/T Bond A2 RMB HMTD3D,ICE BofA US 3M Trsy Bill TR USD,31,0.3186,0.5121,3.69,1.09,3.86,51.6,93.2,-2664.0,3.05,2.9773,15.0,False,0,
Amundi Fds US S/T Bond A2 USD C,ICE BofA US 3M Trsy Bill TR USD,228,0.2951,1.2863,2.13,0.74,2.16,64.0,103.2,-146.2,12.43,2.8537,14.4,True,1,2008-09
HSBC GIF Brazil Equity AD,MSCI Brazil 10/40 NR USD,257,-0.5468,-2.5303,33.34,32.28,7.73,42.4,95.8,105.7,-62.98,2.8438,14.4,True,11,2008-04
PineBridge Asia Dynamic Asset Alloc L,JPM Asia Credit TR USD [40.00%]; MSCI AC Asia Ex Japan NR USD [60.00%],169,-0.1423,-0.5342,12.28,12.53,3.77,47.3,94.3,95.2,-6.84,2.3025,11.6,True,5,2017-05
FF - Asia Equity II ESG S-ACC-SGD,MSCI AC Asia Ex Japan NR USD,179,-0.0539,-0.2082,17.39,17.99,4.03,49.7,94.2,92.7,-1.74,2.2387,11.3,True,4,2020-05
Allianz Oriental Income AT USD,MSCI AC Asia Pacific NR USD,245,0.3465,1.5655,18.29,16.71,7.34,51.0,106.4,95.0,58.87,2.1551,10.9,True,4,2010-07
FSSA China Growth I USD Acc,MSCI China NR USD,305,0.3569,1.7995,22.57,25.82,10.49,54.1,89.0,72.2,213.05,2.0139,10.2,True,4,2006-12
BGF World Energy A2,MSCI World Energy 30%buffer 10/40 NR USD,294,-0.2152,-1.0653,24.65,23.02,7.36,50.7,100.0,106.5,-37.76,1.9687,9.9,True,8,2008-08
AIA Diversified Fixed Income I USD,Bloomberg US Corp Bond TR USD,82,-0.2469,-0.6454,8.63,7.96,1.86,46.3,99.6,104.5,-3.47,1.9314,9.7,True,2,2022-11
